document,class_name,class_index,dataset_type
locality particle concept topic foundation field theory,8,6,train
finite element method elliptic problem coefficient,6,5,train
microarray image stage technique,2,1,train
impact fund global financial market,4,9,train
hierarchical run time model measurement control system,5,2,train
trade decision theoretic planning,9,8,train
validation composite technology field testing,6,5,train
stock market bubble inflation investment risk,4,9,train
approach guide autonomous,5,2,train
simulation observation evidence magnetic alpha effect,8,6,train
microstructure approach exchange rate,4,9,train
evolve neural network augment topology,3,3,train
transaction computer schedule security critical real time application cluster,5,2,train
theory foundation mechanic,8,6,train
semantic framework integrate asset management,9,8,train
acquisition system cultural engineering rapid prototyping bronze,6,5,train
social capital economic performance analytic social,9,8,train
protection discrete stream,4,9,train
model base engine map adaptation,7,7,train
measure datum approach,9,8,train
hybridization mechanism implication,8,6,train
sequence hybridization error handle long sequence,2,1,train
formal requirement specification control system,5,2,train
fracture microstructure extended finite element method,6,5,train
assess spatial distribution crop production cross entropy method,0,4,train
setting mineral occurrence,6,5,train
magnetic flux embed,8,6,train
optical communication overview,6,5,train
visualization hardware accelerate,7,7,train
concurrent decision make markov decision process,9,8,train
size human list annual report,6,5,train
predict stock price movement return role consistency tax loss,4,9,train
applicability fourier base method credit portfolio model integrate interest rate credit spread risk,4,9,train
abstract system theoretic framework safety highly integrate engine control system,5,2,train
asymptotic disturbance property class networked control system,5,2,train
task method sequential learning,3,3,train
market weak link,7,7,train
empirical learning natural language processing task,3,3,train
site consideration advanced fluidized bed combustion station concept assessment,7,7,train
operator evolutionary algorithm base population feature,3,3,train
device experience report,5,2,train
optimization ensemble perceptron pattern classification,3,3,train
protect privacy distribute health care information system,9,8,train
invariant neural network base face detection,3,3,train
model base clustering datum transformation gene expression datum,2,1,train
decision make autonomous agent,9,8,train
evaluate high performance application capital market,4,9,train
eukaryotic promoter hide markov model,2,1,train
lifetime analysis single hydrocarbon fluid inclusion perspective,7,7,train
classification approach detection wireless sensor network,3,3,train
chapter standard motor vehicle fuel article specification alternative motor vehicle fuel,7,7,train
assessment energy approach,0,4,train
probabilistic clustering gene expression profile,2,1,train
spread debt develop country,9,8,train
bond motif large protect cluster reveal spectroscopy transmission electron,6,5,train
empirical property asset return fact statistical issue,4,9,train
integration order knowledge representation reasoning challenge artificial intelligence,3,3,train
click full article,0,4,train
growth income distribution poverty review,9,8,train
note plant growth,0,4,train
system analysis diesel engine,7,7,train
reduction reactive cotton textile industry,7,7,train
eukaryotic promoter hide markov model,2,1,train
real time controller design performance specification end end timing constraint,5,2,train
computer base support management protect area project,9,8,train
homogenization fiber reinforce material case,6,5,train
basis function method american option pricing,4,9,train
analyze system level inter component interface,5,2,train
description source sink category methodology estimate emission indirect greenhouse gas stationary combustion,7,7,train
radiocarbon database early iron age site analysis,1,0,train
exact form factor,8,6,train
productivity performance global address space language,6,5,train
relativistic atom strong magnetic field,8,6,train
efficient resource management resource constrain control task,5,2,train
performance analysis hard real time system,5,2,train
identify separation class discovery method gene expression datum,2,1,train
greenhouse sequestration gas life cycle study,7,7,train
mine periodic pattern gap requirement sequence,2,1,train
inter pattern distance base constructive learning algorithm,3,3,train
foundation study computer support collaborative learning presence generation,9,8,train
influence spatial pattern soil moisture response summer,0,4,train
effect status rate gain summer,0,4,train
detection magnetic gas turbine disk,6,5,train
jump diffusion equilibrium approach,4,9,train
time share parallel application performance control,5,2,train
vehicle exhaust gas chemical sensor acoustic wave,6,5,train
long run consumption risk asset return,4,9,train
end measurement soil,0,4,train
rank rule gene expression datum,2,1,train
system level resource monitoring high performance computing environment,9,8,train
connection computational perspective decision making decision theory,9,8,train
evolutionary game theory explanation effect,4,9,train
fiber model composite material,6,5,train
decision making preference,9,8,train
heterogeneous endogenous evolutionary base financial market,4,9,train
leverage investment coal mine methane climate change fund,7,7,train
reinforcement learning predictive control comparison power system problem,5,2,train
technology gas report,7,7,train
large time behavior heat kernel dimensional magnetic operator,8,6,train
constraint asian european source methane correlation asian,7,7,train
efficient algorithm compute common,2,1,train
algorithm trust inference social network probabilistic confidence model,9,8,train
identification transcription factor bind site variable order bayesian network,2,1,train
dynamical horizon application,8,6,train
framework group decision support system combine tool technique,9,8,train
implication quantum implication,8,6,train
environment effect dynamic index grain,0,4,train
original paper system biology infer genetic regulatory logic expression datum,2,1,train
applicability fourier base method credit portfolio model integrate interest rate credit spread risk,4,9,train
pattern recognition technique survey,3,3,train
partially structure environment limitation classical reinforcement technique robotic autonomous system,3,3,train
flow property weather crude oil,7,7,train
estimate statistical gene expression change array,2,1,train
speed adapt trajectory case hydraulic pressure large scale vehicle,7,7,train
analysis variability design product abstract,6,5,train
space time discontinuous method chemical microstructure,6,5,train
implication uncertainty variability life,0,4,train
currency bank evidence small transition country discussion paper,4,9,train
design experimental validation networked control system time vary random delay,5,2,train
soccer experience peer peer human robot team,9,8,train
computational challenge analysis dna,1,0,train
risk dynamic arbitrage price effect convergence trading,4,9,train
language extension technique datum intensive computation,6,5,train
survey neural transfer function,3,3,train
integrate argumentation fuzzy art neural network pattern classification,3,3,train
periodic recursive control theoretic smooth,5,2,train
artificial financial market agent base,4,9,train
discussion paper represent author view board,4,9,train
interface surface transition,8,6,train
decision making confidence give uncertain advice,9,8,train
fluidized bed flow,7,7,train
individual investor sentiment stock return work paper,4,9,train
model analyze dynamic access control system logic program,5,2,train
evaluation composite material paper,6,5,train
spectral analysis magnetic manifold,8,6,train
market analysis note development cooperation,0,4,train
generation part group local type,8,6,train
transmission study growth system,6,5,train
relationship future stock price performance work,4,9,train
edge encoding represent graph structure,3,3,train
generalized partial couple neural network,3,3,train
find maximum linear system feedforward neural network design,3,3,train
stre theory configuration,8,6,train
chapter model fold,2,1,train
computational framework mapping neural,6,5,train
global optimization schedule crude oil operation,7,7,train
flow prediction model fuzzy logic approach stream,0,4,train
technology gas fuel produce coal,7,7,train
methodology extraction optimization application fuzzy rule,3,3,train
return education macroeconomic,9,8,train
trading institution price discovery cash future market crude oil,7,7,train
reveal publish central bank interest rate projection,4,9,train
topic neural network control,3,3,train
theory compare power access control model,5,2,train
decision make incomplete datum dirichlet model,9,8,train
cross market timing security,4,9,train
algorithm sequential decision making,9,8,train
element analysis class stress free martensitic microstructure,6,5,train
design improved controller support flow,5,2,train
time trigger language embed programming,5,2,train
economic determinant interest rate option,4,9,train
business datum warehouse semantic web technology,9,8,train
prediction signal peptide position,2,1,train
base iterative image reconstruction correction magnetic field inhomogeneity,8,6,train
application ultrasonic technique trace defect laminate composite material,6,5,train
develop criterion process review energy,7,7,train
behaviour composite material make,6,5,train
dynamic interact market result,4,9,train
model biological pathway annotation gene expression pathway signature,2,1,train
magnetic field regime,8,6,train
recurrent neural network analysis,3,3,train
integrate rule base reasoning neural network,3,3,train
classical classical representation,8,6,train
impact food price,0,4,train
consistent direct dynamic study interface,6,5,train
support transmission electron microscopy force,6,5,train
household water service analysis economic political issue,7,7,train
formal method embedded control system,5,2,train
difference cross section stock return,4,9,train
equalization sale tax regulation regulation diesel fuel farm activity food processing,7,7,train
gauge transformation topology computation gas automata,8,6,train
study hardness polymer process,6,5,train
model base testing access control system policy,5,2,train
fly ash sink medium industrial,7,7,train
alternative fuel bus evaluation program result,7,7,train
decision support system,9,8,train
organic computing system couple evolution learning,3,3,train
neural network brain autonomous development,3,3,train
methane consumption water project,7,7,train
continuous representation time series expression,2,1,train
computer automate multi model actor orient control system design,5,2,train
model assessment comparison cross validation predictive density,3,3,train
real time model uncertainty,4,9,train
numerical simulation flame,7,7,train
find top product,9,8,train
automatic composition aggregation transportation modeling,9,8,train
description source sink category methodology estimate emission indirect greenhouse gas stationary combustion,7,7,train
holocene event infer sediment,1,0,train
constructive algorithm structure learn feedforward neural network regression problem,3,3,train
selection subset gene gene expression base classification,2,1,train
work paper domestic capital market reform access global finance make market work,4,9,train
parallel fast method computational chemistry,6,5,train
policy distribute role base access control system,5,2,train
gene expression approach,2,1,train
soil effect thermal signature bury landmine,0,4,train
design technology low income american community,9,8,train
boundary line approach nutrient standard,0,4,train
statistical design analysis gene datum,2,1,train
optimal trade online algorithm,4,9,train
sparse bayesian method continuous speech recognition,3,3,train
access control policy semantic web service,9,8,train
year diversification announcement,4,9,train
regulatory reform natural gas industry,7,7,train
symposium paper presentation oral,0,4,train
web service enable architecture negotiation process management decision support system,9,8,train
weight bias environmental decision analysis,9,8,train
mechanical measurement microstructure,6,5,train
process construct organic hybrid material,6,5,train
general relativistic foundation mathematic,8,6,train
solve transition independent decentralize markov decision process,9,8,train
finite element method elliptic problem coefficient,6,5,train
intelligent datum analysis intelligent datum analysis,9,8,train
hybrid soft computing system critical survey engineering application,3,3,train
cognitive social semantic process paper base formalism population dynamic,8,6,train
speech recognition neural network,3,3,train
determine impact age nondestructive measurement,6,5,train
project technological unit recovery component black coal fly power,7,7,train
validation verification social simulation pattern,9,8,train
formal method small step,5,2,train
price protection strategy oil company,7,7,train
social network collective decision make international conference system science,9,8,train
abstract effective dimension reduction method classification gene expression datum,2,1,train
abstract chemistry model,7,7,train
risk dynamic arbitrage price effect convergence trading job market paper,4,9,train
forecast term structure government bond yield,4,9,train
issue biological artificial neural network,3,3,train
efficiently cluster sequence genome map,2,1,train
computational analysis equilibrium set,9,8,train
reference measure frequency,6,5,train
theory methodology dynamic network behavior selection influence,9,8,train
adaptive behavior empirical study action selection reinforcement learning,3,3,train
prediction soil water characteristic curve genetic programming,0,4,train
applicability neural network machine learning methodology natural language processing,3,3,train
dispersion medium spin early,8,6,train
structural language foundation physics,8,6,train
competitive society application location traffic auction,9,8,train
learn preference domain case net,9,8,train
diesel fuel combustion,7,7,train
model reaction bubble reactor,7,7,train
tool enhance market,7,7,train
mobile search black hole ring,8,6,train
distribute genetic programming,3,3,train
adaptive validate hybrid robotic control system,5,2,train
element combinatorial solid state material science,6,5,train
market matter stock price investment equity dependent firm work paper,4,9,train
medical diagnosis rule artificial neural network ensemble,3,3,train
design cognition model multi agent system simulate society,1,0,train
genetic algorithm approach create neural network ensemble,3,3,train
author author foreign exchange volatility price equity,4,9,train
symposium paper presentation poster,0,4,train
remote sense estimation,0,4,train
stabilization base feedback error learn nonparametric regression network,5,2,train
construct preference focus implication,9,8,train
active flow maintenance control mobile network,5,2,train
approximate maximum weight dynamic,3,3,train
modular recurrent neural network,3,3,train
internal microstructure high performance,6,5,train
solve continuous large discrete observation space,9,8,train
speed adapt trajectory case hydraulic pressure large scale vehicle,7,7,train
long memory level shift volatility stock market return,4,9,train
sequence annotation pipeline,2,1,train
learn validate bayesian network model genetic regulatory network,2,1,train
student assessment material chemistry topic auto online,6,5,train
adsorption heavy metal ion,6,5,train
idea evaluate effect game computer agent support,9,8,train
review dimension reduction technique,3,3,train
generate decision rule reinforcement learn class crop management problem,0,4,train
method spectral biclustering microarray datum gene condition,2,1,train
social capital social network participation community commitment,9,8,train
temporal simulation field scale evolution organic carbon landscape,0,4,train
monetary policy cross section equity return small large growth,4,9,train
mouse high resolution optical tomography,7,7,train
commentary root branch human,1,0,train
learn human movement evaluation biologically inspire connectionist architecture,3,3,train
adaptive system evolutionary neural network,3,3,train
model basis pursuit strategy modeling,8,6,train
prediction long term strength composite time temperature,6,5,train
real time evolution neural network video game,3,3,train
complexity probabilistic planning average reward,9,8,train
