document,class_name,class_index,dataset_type
segmentation level set method landmark edge distance image information,2,2,train
type planning language generation,1,0,train
dbms preliminary report,0,1,train
compare set positive negative argument empirical assessment qualitative rule,1,0,train
team tree pruning,1,0,train
inverse consistency binary constraint,1,0,train
dynamic surface match geodesic mapping animation transfer,2,2,train
automatic composition informative wide view image video,2,2,train
result reason incomplete order knowledge basis,1,0,train
interactive web video advertising context analysis search,2,2,train
load query result,0,1,train
combine scene auto calibration constraint,2,2,train
recovery motion vector detect movement video communication,2,2,train
motion video story planning,2,2,train
dynamically optimize high dimensional index structure,0,1,train
discrete time neural robot,1,0,train
robust ontology acquisition machine dictionary,1,0,train
correlation filter human action recognition,2,2,train
auction mechanism design coordination,1,0,train
detect optical flow,2,2,train
make pattern matching fast,0,1,train
parallel implementation induction tomography image reconstruction algorithm advance,2,2,train
iterative semantic compression algorithm,0,1,train
privacy preserve network structural attack,0,1,train
predict individual risk base medical history,0,1,train
learn model spatial supervise discriminative random field,1,0,train
shape approximation recursive scalable layer generation,2,2,train
model guide information discovery intelligence analysis,0,1,train
active learning parallel,0,1,train
learn detect mixed density dimensionality high dimensional point cloud,1,0,train
medium study implementation improve access user,2,2,train
similarity search time datum wavelet,0,1,train
join online aggregation,0,1,train
logical form core language engine,1,0,train
fuzzy logic belief function,1,0,train
surface recovery surface normal manifold embedding,2,2,train
approach knowledge representation,1,0,train
social annotation improve language model information retrieval,0,1,train
method improve code efficiency frame,2,2,train
code shape image block base constrained quantization,2,2,train
enable end user construct data intensive web site repository base approach,0,1,train
stream information extraction platform business intelligence,0,1,train
situation monitor active database,0,1,train
simple supervised dependency parsing,1,0,train
type index persistent object set,0,1,train
acquire agent base model conflict event datum,1,0,train
project step enterprise wide workflow management,0,1,train
gaussian process density,1,0,train
relationship natural language processing,1,0,train
find multiple object instance occlusion,2,2,train
discriminative field model spatial dependency natural image,1,0,train
base real time speed estimation power generation,1,0,train
patch base face recognition video,2,2,train
integration neural classifier similarity analysis high order feature,3,3,train
learn unified kernel machine classification,3,3,train
anytime online search algorithm approximate policy refinement large,1,0,train
object detection localization dynamic template,2,2,train
framework approximate energy minimization,2,2,train
study learn neural network,1,0,train
rate distortion optimize dynamic switch scalable video streaming,2,2,train
tree base classifier video segmentation,2,2,train
optimize evaluation measure learn rank base selection algorithm,0,1,train
processing diagnosis query principle scalable approach,0,1,train
operation property normal form relational database,0,1,train
base region extraction automate,3,3,train
exploit redundancy sensor network energy efficient processing spatiotemporal region query,0,1,train
dimensional selectivity estimation,0,1,train
framework declarative update constraint maintenance object orient database,0,1,train
selection combination evaluation effective software sensor detect computer usage,3,3,train
scalable low power video sensor technology,2,2,train
theoretical analysis word length assignment integer dct,2,2,train
flexible semantic web service discovery,0,1,train
datum hiding scheme scene change detection video sequence,2,2,train
reconstruction surface model animation range image real time measurement system,2,2,train
efficient processing path query disk base index,0,1,train
single table access multiple index optimization execution concurrency control technique,0,1,train
social recommendation probabilistic matrix factorization,0,1,train
fast detection method base optical flow,2,2,train
plan sensor base motion part geometric reasoning technique,1,0,train
terminological cycle propositional calculus,1,0,train
locate people indoor scene real application,2,2,train
exploratory sample class learn,3,3,train
primitive knowledge discovery,3,3,train
appearance guide level set deformable model image segmentation,2,2,train
partitioning heuristic bound probability evidence,1,0,train
experimental machine learn interactive datum mining,3,3,train
decomposition tensor base,3,3,train
service service communication mechanism home multimedia network,2,2,train
coherent image annotation learn semantic distance,2,2,train
learn order rule datum multiple part application mine compound datum,1,0,train
datum mining bank large application,3,3,train
application linear algebra information retrieval analysis,0,1,train
model framework correspondence,2,2,train
datum integration classification problem gaussian process prior,1,0,train
method boundary base shape matching retrieval,2,2,train
chain algorithm belief,1,0,train
learn incremental refinement incomplete planning domain,1,0,train
assist detection genetic algorithm,2,2,train
equivalence relational expression difference operation,0,1,train
relational feature engineering natural language processing,0,1,train
prove theorem function,1,0,train
comparison retrieval classification,3,3,train
adaptive algorithm learn change user interest,0,1,train
topic discovery relation attribute,1,0,train
principle method reinforcement learning agent,1,0,train
factorization scheme digital image watermarke,2,2,train
web video recommendation long,2,2,train
distribute detection resolution algorithm base hybrid graph generation scheme,0,1,train
automatic image tag category label web datum,2,2,train
base monitoring uncertain domain,1,0,train
base system maximum data reuse,2,2,train
efficient storage space distribution materialized view index datum warehouse environment,0,1,train
robust estimation gaussian mixture noisy input datum,2,2,train
video base face recognition real world datum,2,2,train
learn expert advice,1,0,train
automatic detection target,2,2,train
monitoring complex system parallel neural network,1,0,train
integrate constraint metric learning semi supervised clustering,1,0,train
subspace labeling method base evidence theory,3,3,train
label color image model color density linear combination gaussian,2,2,train
