dataset,n_words,train_score,test_score
BBC_News,1,0.7612359550561797,0.756179775280899
BBC_News,5,0.7339887640449438,0.6932584269662921
BBC_News,10,0.8146067415730337,0.8258426966292136
BBC_News,20,0.8943820224719101,0.8842696629213482
BBC_News,40,0.8814606741573034,0.8865168539325843
BBC_News,60,0.8792134831460674,0.8887640449438202
BBC_News,80,0.871629213483146,0.8842696629213483
BBC_News,100,0.8856741573033708,0.8865168539325843
20NewsGroup,1,0.23982524718326054,0.2630288166768853
20NewsGroup,5,0.2584502184410209,0.29046597179644384
20NewsGroup,10,0.26274239288725376,0.2840282035561006
20NewsGroup,20,0.25856518739940215,0.29061925199264255
20NewsGroup,40,0.23882884954395645,0.27437155119558554
20NewsGroup,60,0.2559209013566337,0.28019619865113427
20NewsGroup,80,0.2562274852456503,0.29245861434702636
20NewsGroup,100,0.2603280447612478,0.2775904353157572
DBLP,1,0.2783565344811796,0.27630735415331076
DBLP,5,0.24050966205696495,0.2482828097811155
DBLP,10,0.29659309460573313,0.2938913819946881
DBLP,20,0.2984476600421284,0.2945782580822419
DBLP,40,0.3103764080959795,0.3118417437494276
DBLP,60,0.3099986262478249,0.3091400311383826
DBLP,80,0.28246634307170987,0.2814818206795494
DBLP,100,0.24056690173092776,0.24049821412217234
M10,1,0.09485338120885697,0.1026331538001197
M10,5,0.09889287851585876,0.09485338120885697
M10,10,0.0840065828845003,0.10652304009575103
M10,20,0.1091412327947337,0.1172950329144225
M10,40,0.11609814482345901,0.12268102932375821
M10,60,0.08692399760622382,0.09605026929982047
M10,80,0.11482645122681029,0.1298623578695392
M10,100,0.11647217235188509,0.118491921005386
