dataset,iteration,Dataset Type,F1 score
BBC_News,1,train,0.9044943820224719
BBC_News,1,test,0.9101123595505618
BBC_News,2,train,0.9084269662921348
BBC_News,2,test,0.9056179775280899
BBC_News,3,train,0.8567415730337079
BBC_News,3,test,0.8831460674157303
BBC_News,4,train,0.898876404494382
BBC_News,4,test,0.9011235955056179
BBC_News,5,train,0.8808988764044944
BBC_News,5,test,0.898876404494382
BBC_News,6,train,0.8977528089887641
BBC_News,6,test,0.8876404494382022
BBC_News,7,train,0.8910112359550562
BBC_News,7,test,0.8943820224719101
BBC_News,8,train,0.902247191011236
BBC_News,8,test,0.903370786516854
BBC_News,9,train,0.898876404494382
BBC_News,9,test,0.8876404494382022
BBC_News,10,train,0.9044943820224719
BBC_News,10,test,0.9011235955056179
20NewsGroup,1,train,0.27791829539357704
20NewsGroup,1,test,0.3120784794604537
20NewsGroup,2,train,0.2606729516363915
20NewsGroup,2,test,0.2814224402207235
20NewsGroup,3,train,0.26588487774967423
20NewsGroup,3,test,0.30288166768853464
20NewsGroup,4,train,0.2697171763623822
20NewsGroup,4,test,0.299202942979767
20NewsGroup,5,train,0.2671112133057408
20NewsGroup,5,test,0.3038013488657266
20NewsGroup,6,train,0.27715183567103546
20NewsGroup,6,test,0.31698344573881054
20NewsGroup,7,train,0.2776883574768146
20NewsGroup,7,test,0.30226854690374005
20NewsGroup,8,train,0.25147543496589253
20NewsGroup,8,test,0.2817290006131208
20NewsGroup,9,train,0.24373419176822259
20NewsGroup,9,test,0.2820355610055181
20NewsGroup,10,train,0.27010040622365294
20NewsGroup,10,test,0.2976701410177805
DBLP,1,train,0.3103764080959795
DBLP,1,test,0.3118417437494276
DBLP,2,train,0.26742375675428154
DBLP,2,test,0.26650792197087647
DBLP,3,train,0.3103764080959795
DBLP,3,test,0.3118417437494276
DBLP,4,train,0.3103764080959795
DBLP,4,test,0.3118417437494276
DBLP,5,train,0.268591446103123
DBLP,5,test,0.26852275849436763
DBLP,6,train,0.34616265225753273
DBLP,6,test,0.335012363769576
DBLP,7,train,0.3103764080959795
DBLP,7,test,0.3118417437494276
DBLP,8,train,0.27275849436761607
DBLP,8,test,0.27493360197820316
DBLP,9,train,0.3103764080959795
DBLP,9,test,0.3118417437494276
DBLP,10,train,0.3103764080959795
DBLP,10,test,0.3118417437494276
M10,1,train,0.10383004189108318
M10,1,test,0.10771992818671454
M10,2,train,0.0945541591861161
M10,2,test,0.10173548773189707
M10,3,train,0.10891681627767803
M10,3,test,0.10353081986834231
M10,4,train,0.11669658886894076
M10,4,test,0.11190903650508677
M10,5,train,0.1144524236983842
M10,5,test,0.12746858168761221
M10,6,train,0.11370436864153202
M10,6,test,0.11609814482345901
M10,7,train,0.11834230999401556
M10,7,test,0.13883901855176542
M10,8,train,0.1132555356074207
M10,8,test,0.118491921005386
M10,9,train,0.13285457809694792
M10,9,test,0.12806702573309395
M10,10,train,0.11041292639138241
M10,10,test,0.1172950329144225
